id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156387313602,Brandon Zerga,1 week ago,1493596221783,FBE Adults do the try not to aww challenge,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156567269505,It still me Pixel,1 week ago,1493596221785,FBE fidget spinners,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156659773795,mesarvagya777,1 week ago,1493596221787,@FBE React to NaS please.,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156743938971,Wolfie101 lover,1 week ago,1493596221789,FBE  do kids react to dank memes and if they laugh pie Face,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156773478848,Mythical Reid,1 week ago,1493596221791,FBE Do this to the YouTubers.,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156861734528,Mob King,1 week ago,1493596221793,FBE  kids react to Kodak blak,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156920266763,AyeItsDan,1 week ago,1493596221796,Mob King bruh,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157006703774,Mob King,1 week ago,1493596221798,AyeItsDan  lol,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157050080225,Sakura4anime25,1 week ago,1493596221800,"Kids react to Queen, please! ^_^",1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157056241760,SAVAGE QUEEN SAVAGE,1 week ago,1493596221802,FBE do the try not to laugh challenge,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157110613318,Daniella Calderon,1 week ago,1493596221804,FBE anybody try not to get really mad,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157146341202,Lucy The Lamp,1 week ago,1493596221805,FBE try not to get satisfied!!!,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157175859463,Jason Enriquez,1 week ago,1493596221818,kids react to fidget toys,2
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157338525557,Jomar Beran,1 week ago,1493596221820,Can you make a challenge where you watch epic action scenes and try not to react with succhh amazement where youre sitting on the end of your seat and you just wanna go OMMGGG SOOO F**KIN AWESOME!! lol??!!,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493157498907919,john anthony matos/dctc/alberto valdez,1 week ago,1493596221822,Please make kids react to try not to get exited,0
